                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.61476,                 0.3458,                 0.8096,                0.94917,                0.91585,                0.96483,                0.80939,                  0.523,                 0.3069,                0.79882,              0.0011337,              0.0011337,              0.0011337
                     38,                0.61088,                0.34184,                 0.8104,                0.96024,                 0.9095,                0.96499,                0.80359,                0.54973,                0.31094,                0.80196,               0.001109,               0.001109,               0.001109
                     39,                0.61089,                0.34006,                0.80962,                0.95125,                0.91585,                0.96522,                0.80862,                0.52509,                0.30443,                0.79882,              0.0010842,              0.0010842,              0.0010842
                     40,                0.60064,                0.33552,                0.80993,                0.95691,                0.91259,                0.96662,                 0.8094,                0.51222,                0.29611,                0.79651,              0.0010595,              0.0010595,              0.0010595
                     41,                0.60049,                0.33365,                0.81055,                0.95445,                 0.9104,                0.96352,                 0.8106,                0.50804,                0.29605,                0.79598,              0.0010347,              0.0010347,              0.0010347
                     42,                0.59125,                 0.3303,                0.80705,                0.94764,                0.91382,                0.96668,                0.81087,                0.52334,                0.29825,                0.79906,                0.00101,                0.00101,                0.00101
                     43,                0.59352,                0.33078,                0.80786,                0.95543,                0.90925,                0.96434,                0.80514,                0.52764,                0.30005,                0.79886,             0.00098525,             0.00098525,             0.00098525
                     44,                0.59725,                0.33255,                0.80908,                 0.9492,                0.92169,                0.96492,                0.81104,                0.51129,                0.29584,                0.79725,              0.0009605,              0.0009605,              0.0009605
                     45,                0.59239,                0.33085,                0.80788,                0.95431,                0.91482,                0.96483,                0.81256,                0.50612,                0.29358,                0.79532,             0.00093575,             0.00093575,             0.00093575
                     46,                0.58376,                0.32403,                0.80438,                0.95731,                0.91396,                0.96511,                0.81795,                0.49676,                0.28376,                0.79524,               0.000911,               0.000911,               0.000911
                     47,                0.58402,                0.32465,                0.80595,                0.95783,                0.91431,                0.96466,                0.81511,                0.50648,                0.28997,                0.79636,             0.00088625,             0.00088625,             0.00088625
